original_hm,target
"I was having lunch with my family. Since my childhood we have a pattern in our home, first everybody at our home has lunch while my mother serves and while we are on our last Roti she too joins with her plate.I was little extra hungry. She had just joined with her plate along with my sister. I asked her for Roti. She said ""Wait I am making one for you"" and she left her seat.I held her hand and said, ""Mumma! I am in some cooking mood. You have food, I will make a roti for me"". She said, ""Why will you work in kitchen while I am here?""I said, ""I want to make a roti"" and I left my seat. Sister popped up saying, ""Have this roti from mummy's plate, complete your lunch and then make a roti for mumma.""I said, ""Well! You are falling for a dangerous act.Hahahahah."" I completed my lunch and started with roti, This was it! Previously I have cooked many times, but only for me. This was the first time I cooked for mother.I made a roti and served it to mother. She made 3 parts of it, one for my sister, one for my father and one for herself. They all had their parts and I was observing them with suspense about comments.Sister chuckled, Your wife is lucky, you can feed her deliciously. Father giggled, Your Gf must have said you to learn cooking this morning.Mother was little emotional, she said, My son has grown up. Roti is sweet! She was happy. Everyone was happy.It made me happy.",affection
"Two days ago I won Best in Show at an art show.  For many years, I won nothing.  I've gotten small awards in the past two years....but in my 22 year art career, I've NEVER gotten Best in Show.  I was stunned at the reaction -- I wept for joy.  I had to compose myself in an artist's studio I was so overcome.  ",achievement
MY HAPPIEST MOMENT EVEREYDAD MY MOM SAY BYE TO MED WHEN I GET READY TO GO SOME WHERE.,affection
"GO TO HOTEL,PARK,CINIMA WITH MY FRIENDS SO I REALLY ENJOYED",bonding
I was able to get everything marked off my to-do list.,achievement
An event that made me happy is my lyrics as be selected for a movie. When my lyrics is played on the big screen it brings me proud movement. The Director and the Hero said if this lyrics is played on the big screen the fans will definitely happy. And this was my happiest event in my life.   ,achievement
My YouTube channel picked up 6 subscribers in one day. ,achievement
I finished a good book,achievement
"After a 19 hour car ride, I got back home from visiting family",affection
I finally got to play my new Nintendo Switch ,leisure
My teenage daughter helped me cook dinner and we enjoyed our meal together while talking about our day.,affection
I started writing a book. it has always been a goal of mine and I really wanted to set my mind to it so I started. ,achievement
Received a pay raise due to a promotion I earned at work.,achievement
I got a really good night's sleep.,enjoy_the_moment
"My sister decided to move to New York City about a year ago and we haven't been in contact much. However, she surprised me and the rest of my family by planning a surprise visit last month. It felt really nice catching up. We're all getting older and we all have our own things to do, but it's still nice to see my family.",affection
I got to hangout with my mom on holiday and had a great week enjoying her.,affection
I went to the Tigers opening day game with a group of friends and we has a blast,bonding
I went to the nursery with my wife and our dog to find some new garden plants.,affection
I came home from a long weekend and spent time with my wife and dog!,affection
My cousin having a baby,affection
I got a coupon for a free item. i didn't have to pay. I wearing my free T-shirt. ,achievement
Something that made me happy was watching my daughter place 4th in the state tennis tournament.,affection
"I WENT TO HOSPITAL FOR SKIN PROBLEM, .. I TRY TO CLEAN FACE FOR MANY MONTHS, BUT CLEAR MY FACE.. I LOOK VERY BEAUTIFUL.. I FEEL VERY HAPPY",enjoy_the_moment
I got a really good deal on someone to cut downs trees from my yard. ,achievement
The day my brother spoke to me after a long period,affection
I was able to get some hours at my job for the summer when I didn't think that I was going to be able to.  I am a teacher and I didn't have anything lined up for the summer as far as work. ,achievement
Watched warriors advance to finals,leisure
"I found a treasure in front of my home. But it looks very dirty outside the box. when i was brainstorming to hold my hands because of scaring, then i had opened that box, it has some gold coins inside the box. I was so excited and i didn't know that could i do afterwards?",achievement
I read a great article about gardening and jarring jellies.  It was a very informative and interesting article.  That made me very happy I could sit down and read the entire article.,leisure
"After searching and waiting, I found and bought, a jar of coconut oil from a supermarket I've been longing for.",achievement
The sister gave birth to a baby boy which made me very happy in the past 24 hours.,affection
I made my first loaf of banana bread and it turned out great.,achievement
My Mom sent me a picture of my estranged brother and father hanging out together.,affection
I went to my cousin house this morning and had good lunch with chicken recipes.,affection
I  spent two hours on the phone with my sister yesterday- she is the only family emember who lives in another state.,affection
MY BEST FRIEND MARRIAGE PARTY,bonding
My daughter send me tickets to visit her because my grandson was crying.,affection
I spent hours cooking (which I hate) for a cookbook club/potluck thing but still had a good time.,leisure
I went out to eat with a few friends.,bonding
Just the way he said it cheered me up. I couldn't stop smiling for the rest of the day!,enjoy_the_moment
before 15  days   i  when to tour with my entire family at delhi..   that  event was made me happy ...,affection
Received a work related mail from my boss complimenting the work I have done recently ,achievement
I went to class and participated in a good discussion with my classmates. ,bonding
My daughter's birthday is coming up and I let her open her gift early. She was very surprised and was really happy with the gifts that I gave her.,affection
My son went on his first job interview.,affection
I was very happy when my daughter had a great time at her friend's birthday party over the weekend.,affection
My wife finally decided to go back to college to finish her degree after me insisting for a long time.,affection
I saw a rainbow after the storm.,nature
I found an experienced realtor that is willing to help me find a new home to purchase and sell for a profit.,achievement
"I tried a pizza burger for the first time, which was really just a burger with marinara sauce, but found it very delicious.",enjoy_the_moment
There was a nice sale on sausage at work and I got to stock up for the next breakfast or two.,enjoy_the_moment
My friends came to my room to wish me a happy birthday!!,bonding
I bought a new laptop.,achievement
I was happy when I found out I was going to be a father.,affection
I was very happy after completing my exercise routine. My legs are feeling stronger and I have more energy to complete more repetitions of my strengthening program.,exercise
"This morning, around 10:20 am, I was talking with my girlfriend. Prior to that, I had been pissed off by some shit that my boss was doing and I didn't want to deal with him. So my girlfriend and I were texting and it helped take the stress away. Then towards the end of the conversation she called me her ""knight in shining armor"" and that genuinely made me happy because it was so innocent and positive in contrast to the hardships that I was going through with my boss. It made me smile and helped me put up with my boss today.",affection
When I took the kids to the park and they went fishing.,affection
I found some plants that I really like and can now finally landscape the rest of my front yard,nature
My boyfriend asked me when we should get married and how we should plan our engagement.,affection
I toured the local area  on my motorcycle with a friend and new rider.,bonding
I was so happy when I looked out the window and saw that my daughter had taught herself to ride a two wheeler bike.,affection
"Today, buying food for a family member made me happy because I had wanted to do this for this person for a while, and I finally got the chance to.",affection
I drove to my friends house for a all day grill out in beautiful sunny warm weather,bonding
I went to a Greek restaurant.  The food was very good.,leisure
"I had some self reflection, enough to admit something to myself that I had been denying my whole life. ",enjoy_the_moment
"I recently became friends with a really great group of people. Yesterday we ordered pizza, Chinese, and taco bell. Then we sat around talking and eating. Good times.",bonding
I started a new faith based group. I invited a few close friends. A safe place to open up and be able to talk about what is happening in our lives and how having faith can get you through your problems.,bonding
"My dad presented me a new laptop surprisingly on my birthday i was so excited. I can't forget that day in my like, that was my first surprise given by my dad.",affection
"I went for a walk with my father who has terminal cancer, I don't know how many other walks we will have for which this is a special moment in my life. ",affection
I won a bike in a raffle.,achievement
"Trying hard to find the mobile when it in non-vibrating silent mode, I searching the phone all round in my house, but I kept in my pocket. At that time, all the members of my family looked me and started to laugh.",affection
"I had a good day at the gym, and lifted a lot.",exercise
I complete the season of the walking dead,leisure
"The graduation ceremony was in the main auditorium of the university and everyone was there, all the students, faculty members and of course family and other invited guests. There were the usual speeches, presentation of degrees to graduates and a few other things which the faculty had organized, and then after we organized a big lunch.

There was my own family and three of my friends and their families as well, so it was quite an occasion. We had this family lunch at a local restaurant which we had booked for the afternoon. It was a really special time having all the most important people in my life together at the same time.",achievement
I had a work order to get my blinds in my apartment fixed so I could open them and look out. ,achievement
I was happy when my girlfriend surprised me with a cake last week. ,affection
My son graduated from preschool.,achievement
I finally started playing my favorite game that I had put on hold for weeks and I had a blast playing it last night.,leisure
I was happy when I did a exercise this morning.,exercise
I made plans with a good friend to have a breakup party so that she can get out of a fairly toxic relationship.,bonding
My nephew's dog had puppies and they were adorable.,affection
Two days ago I went to a chicken place I saw on the New Yorker website and had really good fried chicken. ,enjoy_the_moment
I found out about a new potential income oportunity,achievement
I was miserable in my previous job and getting a new job after a long search made me really happy. ,achievement
I was able to complete a very hard training task at work.,achievement
My friends and I participate in a bar trivia league and our team won last week. It felt good to have fun with friends and win money after we finished with the most points out of all the teams. ,bonding
Cooking and reuniting the family makes me happy.,affection
"I had an awesome, uninterrupted, date with my new guy and it was awesome. We talked and chilled and I liked it a lot.",affection
"Some family friends visited for the weekend, who I'd only met briefly before at a wedding. Really enjoyed their company.",bonding
A stranger complimented my choice of dress. ,enjoy_the_moment
I booked a trip to Bali for the end of the year with my girlfriend.,affection
"In February my elderly mother's long-awaited thyroglobulin test came back normal, no cancer. ",affection
I made little powdered sugar guava stuffed beignets today and that is enough to keep me happy all weekend.,achievement
Eric came over and we had really good sex.,affection
My favorite show came back on netflix,enjoy_the_moment
today complete my long time project in my office our team members are very happy,achievement
I lost weight.,achievement
I went on a walk on a new trail with my wife. ,affection
My girlfriend surprised me and brought me to a fancy steakhouse. Harris Steakhouse. I have always loved steak and she brought me to somewhere special for our 1 year anniversary. ,affection
I was happy when I found out my sister had a job interview I knew she had been working toward.,affection
 MY FATHER WAS BUYING A NEW BIKE ON  LAST MONTH  FOR ME THAT MOMENT I WAS SURPRISED BECAUSE I LOVE BIKE RIDING.,affection
"It made me happy to see the little girl that I babysit, as we had not seen her in several months.",bonding
"I finished baking a loaf of pumpkin bread, and the flavor and texture both turned out much better than expected.",achievement
Realizing that I had paid vacation time accumulated at work that I didnt know about,enjoy_the_moment
I WENT TO INDUSTRIAL VISIT MY SCHOOLMATES. LONG DAYS ABOVE WE ALL TO MET AT TOUR.. ITS VERY COLORFUL AND ENJOYABLE MOMENT..,enjoy_the_moment
Went to get my favorite drink from my favorite coffee place. ,enjoy_the_moment
I love play voleyball with my Friends in the beach,bonding
My girlfriend went and picked up coffee for us while I laid in bed. ,affection
I ate a cheeseburger,leisure
"I had the best tasting ice tea that was green tea with chunks of mango and pineapple.  It was delicious taste in my mouth, I loved it!",enjoy_the_moment
I made vacation plans with my daughter today for Florida in July.,affection
I got to spend some time with a friend that I hadn't seen for a while.,bonding
"my kid received from school with progress card with details , my kid asking to signature  in progress card same has been process to school teacher. i asked her what the rank in class? she told the i am 3d rank, i told her to get 1st rank, then only i signed, while my kid is trying to convince me saying that next i am top rank in my class. still i feel so much happy.",affection
My mechanic called to tell me that my car will be ready to be picked up two days sooner than expected.,achievement
My kid brother decided what college he was going to.,affection
i made 20 dollars,achievement
Another event was when my husband choked me to the point of passing out. I love it when he does this. I have a smile on my face the entire time. He like shaving that power and it makes me happy to give it to him.,affection
I got my bathroom renovated in my house.  I was so excited after I saw everything in place as I had been planning to do that for a while.  ,enjoy_the_moment
MY sisters cancer treatment was successful and she is now in remission. ,achievement
to months back i brought new place for building my own home,achievement
Filled my bike fuel tank after a long time.,achievement
MY MOTHER SURPRISE MY BIRTHDAY CELEBRATE IN PARTY'S HALL AND I AM VERY EXCITE THAT DAY AND VERY HAPPY MOMENT,affection
"my husband James, took me out for lunch today.",affection
Currently playing The Legend of Zelda The Breath of the Wild and really enjoying it.,leisure
My son got 2nd prize in a competition.,affection
I had a froot loops milkshake.,achievement
It was my son's birthday and we had a party for him.,affection
My son took most of his school tests last week. But the last one he took (Math) came out good. We were thrilled!,affection
I got a call back for an audition for a job.,achievement
i went to temple,leisure
I went to Calgary with my dance company to perform and take some advanced workshops.,bonding
I got an Mturk hit yesterday that was quick and paid a $20 bonus. ,achievement
I WENT TO COLLEGE,achievement
One of my sons received a 100 on a test that he was really stressed about.,achievement
"I cleaned out the spare bedroom, which was full of boxes. ",achievement
My daughter sat right next to me telling me all about her day at school while I was doing dishes.,affection
"I was able to help my daughter get a new car. She really needed something reliable, and it felt so good to be able to cosign her loan, so she could get the car she needed. ",affection
I was happy when my girlfriend was actually still awake when I got home from work. ,affection
"On my birthday my old friend one who doesn't talked with me for last 1 year, spoke with me.",bonding
My oldest daughter helping my youngest daughter with her homework.,affection
My youngest son woke me up by coming into my room and telling me proudly that he slept in his bed all night long.,affection
Seeing the daffodils and forsythia blooming.,nature
During the last three months my mother celebrated her 86 th birthday. Every Birthday I get to spend with her is a blessing. ,affection
I figured out how to fix an important broken query we use on a database for my job.,achievement
I met a friend at the park. ,bonding
I found out that my best friend is pregnant.,bonding
"I was able to complete a couple of work projects, which made me very relaxed and happy.",achievement
"While I was getting ready for work this morning, my daughter got out of bed and talked to me before I left.",affection
Passing all of my certification tests to become Network+ certified. ,achievement
I finally found a skin care regimen that works for my skin type.,achievement
I was happy when my boyfriend made me a surprise bubble bath.  ,affection
"My mother came over and spent time with me, after which she gave me a hundred dollars. This was really nice of her and super unexpected.
",affection
When my girlfriend said she was moving across the country to be with me.,affection
I set up my 4th of 5 tests for my HiSET. If i can get these last two tests finish i can be in the graduation ceremony.,achievement
I adopted a cat from a local shelter a few weeks ago. ,affection
I WENT TO MOVIE,leisure
When I graduated.,achievement
My boyfriend surprised me by cooking dinner.,affection
A political leader that I dislike began to sink in public polls. ,achievement
"While walking on roadside I got some money on the roadside, that moment make me feel happy.",enjoy_the_moment
"This morning, I received an email saying that my research project on diabetes has been approved.",achievement
I went to my cousins wedding and had a really good time.,affection
It rained today and it reduced the temperature.,nature
I may be getting a raise at it looks very good.,achievement
I found out that a TV show that I like has been renewed for another season.,leisure
I worked out and lifted weights this morning and it felt good.,exercise
I had a fantastic pizza for dinner.,leisure
Opening day of baseball season has arrived.,leisure
I came home and my mom had made my favorite type of pizza to celebrate my good work at my job.,affection
"When my sister's firs child was born and the nurse show him to me. I can not describe what I felt, but it was unforgettable. Birth of my sister's first born and holding him for the first time! ",affection
my relatives celebrate my wedding day in a restaurant. that was a nice experience.,affection
Being told I have a chance for promotion at work.,achievement
I was able to retire after working at the same place for 42 years.,achievement
Laughing so hard when telling a story you can barely make it to the end,enjoy_the_moment
I found out a friend that's been sick is going to be okay.,bonding
"the happiest movement is change to person to person and time
to time, as far as regarding my happiest movement is
concerned when i completed my high school, it is definitely
an unforgettable movement for me all my family members was
waiting my result, it was just momentum movement,",achievement
My wife gave birth to a baby boy and this made me happy.,affection
"My husband and I won $2000 on a lottery ticket and were able to buy some nice items for the house that we've had on our wishlist for many months (lamps, air conditioner and crockery).",achievement
A neighbor helped me with some yard work.,bonding
Relaxing while smoking a cigar.,enjoy_the_moment
I took a trip to an out of town casiono.,leisure
"This morning, I received a phone call from my fiance. He is currently on a business trip and I haven't talked to him in several days. He called just to check up on me and told me he missed me. This simple phone call made my day.",affection
Being able to pay bills on time this week.,achievement
I was very happy when we saved enough money to get a new car. It's like a lot of stress of our shoulders now we can drive anywhere in the world in a reliable vehicle that will last for years. ,achievement
Receiving a refund on a dress my significant other bought because we don't need to go to the event anymore made me happy.,enjoy_the_moment
"I met my sales goals for the month of April, and as a result was able to qualify for my performance bonuses.",achievement
"I watched a talk show that reunited some of my favorite entertainers from The Daily Show, including Jon Stewart, Samantha Bee, and Stephen Colbert.",leisure
I was happy that I got a package in the mail today.,enjoy_the_moment
I talked with my girlfriend on the phone while I ran for an hour.,affection
"Real won 4-2 against Atletico. Let Go Real, Hala madrid. Amazing night with happy scores ",enjoy_the_moment
I bought a new game Darksouls 3.,achievement
I received a reimbursement for hotel and rental car for a travel delay.,achievement
my husband took me out to dinner and a movie it made me so happy cause we dont ever get to do that with 4 kids,affection
I found out my car only needed a minor repair instead of the large repair I thought it needed.,achievement
I bought a new laptop.,achievement
I WENT TO MOVIE,leisure
My favorite baseball team won their second game of the 2017 season in a hard-fought effort and it was great because they lost the first game of the year!,achievement
Going to the NBA Eastern conference finals game on my trip to Boston.,leisure
Seeing the happy mood of a coworker after a lengthy period of depressions.,bonding
I got my first pay check after being unemployed for a few years.,achievement
I sold one of my old books. ,achievement
I am attending my sister's wedding in a couple weeks and managed to get the perfect shoes today.,affection
I got to play a game I enjoyed.,leisure
"A oldie's song came on the radio, that used to be my favorite.",leisure
"Spending all Sunday afternoon with my daughter.
We played LEGOS. Then we listened to Vivaldi music and she started dancing.
",affection
My niece has won quiz event at her school. She is at my house this morning to show her prize and I am just happy with her.,affection
"I visited family in Texas, about a 2 hour flight away and saw them for the first time in about a year.",affection
I went with my girlfriend to get drinks a new bar in a scenic location.,affection
I WENT TO MOVIE,leisure
I received notice that I was accepted into a National Leadership Association through my university.,achievement
I reached on time for work after 6 days being late.,achievement
My mom visited and we were able to talk often.,affection
I was able to get my daughter to giggle a whole bunch while playing with her.,affection
My sister came to my home for summer vacation last week. My kids and me enjoyed with them by taking them to different places which was really happy to enjoy,affection
The event that made me happy was seeing my brother for the first time in 20 years.,affection
My girlfriend got to sleep over on our mutual day off from work and school.,affection
I got a job!,achievement
My sister came home from South Korea after spending a year there.,affection
I WEND TO SHOPPING,leisure
I had received the compliments form my boss for the successful completion of the stock updation task.,achievement
An event that made me happy n the past 3 months is learning how to ride a motorcycle. ,achievement
On Monday night I attended an awards ceremony at my teenage daughter's high school and she won numerous top academic awards.,affection
Traffic was good on both my morning and evening commutes. ,enjoy_the_moment
I found out that work would not be cutting back my hours as much as I thought,achievement
i went to movie,leisure
"we have attended a family gathering.all of our family members have enjoyed talking joking with each other.discussing various topics.enjoyed cooking ,eating with everyone.conducting and participating games we really had lot of fun.
",affection
I made a great riff on guitar,achievement
"The same artist who made the art book I purchased, made a piece of art just for me, based on a prompt of mine, and posted it on their website.",achievement
I WENT TO TEMPLE.,leisure
"We celebrated in family the day of the mothers, being present my grandmother and my mother, we had a very pleasant family reunion, where we shared the whole family pleasantly.",affection
"I gave some money to a homeless person, the person showed a lot of gratitude.",bonding
Purchased a New Television for watching TV programs from home.,achievement
The day my son was discharged from the hospital. ,affection
My 6 week old son gave a belly laugh when I was changing his diaper. ,affection
My close friend from my previous job has started writing me letters after I moved across the country and now we write each other every week.,bonding
"I went to friend's home.. I did not inform to my friend.. Suddenly, My friend look to me.. She was surprised,.. I felt happy.. Wonderful moment on my life...",bonding
I passed my final exam for a subject I wasn't confident about,achievement
I finished an analysis of data for work. ,achievement
I marathoned old episodes of Steven Universe a few days ago.,leisure
I planted flowers for my wife in our garden.,affection
I listened to a great rap album.,leisure
I got to watch my favorite movie when I came home yesterday.,leisure
"I am currently moving into a new home, and I had a sense or euphoria and happiness this morning with the realization that it is finally happening.",achievement
I went on a date with a new girl who I can't stop thinking about.,affection
I made another $42 dollars yesterday on mturk.,achievement
I had my picture taken for my school's newsletter.,achievement
"My oldest son participated in a computer project via internet and the service provider gave him in return 1500 dollars for his initiative, that money will be used to buy a ticket to travel Seoul in his next vacation.",achievement
Getting the perfect part time job to keep my resume active and also help support my family.,achievement
I visited my brother who lives in a different state.,affection
"Arriving from my destination via plane ride made me quite happy, it was a trip I have been looking forward to for some time. ",enjoy_the_moment
I had a night away from the children this past weekend.,affection
Last week my baby girl crawled for the first time. We were sitting on the floor and she saw the cat and started to crawl after her.,affection
My wife was able to finally get a proper diagnosis,affection
I made it to work early to be on time for an important meeting and I knew I wouldnt be stressed about getting there.,achievement
We spent our first weekend at the lake for the summer last week.,nature
I took my dog to get groomed.,affection
Going to Costco and checking out all the new gadgets (and eating the free samples!) while my wife shopped.,enjoy_the_moment
I saw goats at the park and they were eating weeds.,nature
I have a newborn baby and she recently started turning and making some sounds which makes me happy.,affection
"I am very happy when I joined event of dota 2 ""the internation 7"" and I received giftcard from Valve",achievement
We shifted to a new home and good environment.,achievement
"When I recieved my first standing ovation after a dramatic, not comedic performance. I was used to be applauded for comedy, but when they stood and applauded when I did 12 Angry Men, just for me... That was really special.",achievement
"I wasn't happy to do it, but I am happy now to have taken my brother to his doctor's appointment today.",affection
A girl I have a crush on seemed to be flirting with me over the course of a night out.,affection
My cat snuggled beside me last night when I was falling asleep and snored. ,affection
I am currently on a diet and trying to lose weight. I got on the scale and saw that I lost 3 pounds in one week. ,achievement
I finished two important projects at work yesterday.,achievement
Leaving my job to pursue freelance graphic design.,achievement
i go to oldage home and service enjoy the moment.,enjoy_the_moment
I heard that my friend got promoted.,bonding
